PDI	Par_Smo	Par_Smo_B	Fam_Dis	Fri_Smo	Exp_Home	Exp_Nhome	Pro_Logo	Pro_Media	Pro_Event_Scale	Pro_Free	School	Age	Sex	Anti_Media	Anti_Events
2	2	1	1	1	1	1	0	1	1	0	1	6	2	1	1
2	3	1	1	1	0	1	0	1	0	0	1	3	2	1	1
2	1	0	1	1	1	1	0	1	1	0	1	5	2	1	1
2	2	1	1	0	1	0		1	1	0	1	2	2	1	1
2	5	NA	0	1	1	1	1	1	1	1	1	4	2	1	1
2	1	0	1	0	0	1	0	1	1	0	1	3	2	1	1
2	2	1	1	0	0	1	0	1	1	0	1	4	1	1	1
2	1	0	1	1	0	0	0	0	1	0	1	5	1	1	1
2	2	1	1	1	0	1	0	1	1	1	0	4	2	1	1
2	1	0	1	1	0	1	0	1	1	0	1	5	2	1	1
2	3	1	1	1	1	1	0	1	0	0	1	4	2	1	1
2	1	0	1	0	1	1	0	1	1	0	1	4	2	NA	0
2	3	1	1	0	1	1	0	1	1	0	1	5	2	1	1
2	3	1	1	1	1	1	0	0	0	0	1	3	1	1	0
2	4	1	1	0	0	0	1	1	1	0	1	5	2	0	1
2	3	1	1	0	1	0	0	1	0	0	1	5	2	1	1
2	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1
2		NA	1	1	1	1	0	1	1	0	1	5	1	1	1
2	4	1	1	1	1	1	1	1	1	1	1	4	2	1	1
2	1	0	1	1	0	0	0	1	1	1	0	4	2	0	1
2	1	0	1	1	0	1	0	1	1	0	1	5	2	0	0
2	1	0	1	1	0	0	1	1	1	0	1	3	1	1	1
2	4	1	0	0	0	1	1	1	1		0	3	1	1	0
2	1	0	1	1	0	0	0	1	0	1	1	3	2	1	1
2	1	0	1	1	0	1	1	1	1	0	1	5	2	1	1
2	2	1	1	1	1	0	0	1	0	1	1	2	2	1	1
2	1	0	0	0	0	0	0	1	1	0	1	3	1	1	1
2	1	0	1	1	0	0	0	1	1	0	1	2	1	1	1
2	3	1	1	1	0	0	0	1	1	0	0	2	1	1	1
2	1	0	1	1	0	1	1	1	1	1	1	3	1	1	1
2	1	0	1	1	0	1	0	1	1	0	1	3	1	1	1
2	3	1	0	0	0	1	0	1	1	0	1	3	2	1	1
2	1	0	1	1	1	1	0	1	0	0	1	5	1	1	0
2	4	1	1	0	0	0	0	0	0	0	1	2	1	0	1
2	1	0	1	0	0	0	0	1	1	0	0	2	1	0	0
2	3	1	1	1	0	1	0	1	1	0	1	6	1	1	1
2	1	0	1	1	0	0	1	1	0	0	1	3	2	1	0
2	1	0	0	0	0	0	0	1	1		0	2	1	1	0
2	1	0	1	1	0	1	0	1	1	0	1	6	1	1	1
2	3	1	1	0	0	1	0	1	1	0	1	2	2	1	1
2	5	NA	1	1	0	0	0	1	1	0	1	5	2	1	1
2	3	1	1	0	1	1	0	1	1	0	1	5	2	1	1
2	1	0	1	1	0	0	1	0	1	0	0	2	2	1	0
2	1	0	1	0	0	0	0	0	0	0	1	4	1	1	0
2	3	1	1	1	0	1	0	1	1	0	1	4	2	1	1
2	1	0	1	1	0	0	0	1	1	0	1	3	2	1	1
2	1	0	1	1	0	1	0	1	1	0	1	3	2	1	1
2	1	0	1	1	0	1	0	1	1	0	1	5	1	0	1
2	1	0	1	0	0	0	0	1	1	0	0	5	2	1	1
2	1	0	0	1	1	1	0	1	0	0	1	3	2	1	0
2	3	1	1	1	0	0	1	1	1	1	1	5	1	1	1
2	1	0	1	0	0	1	0	1	1	0	1	4	1	1	1
2	2	1	0	0	1	1	1	1	0	1	1	1	2	1	1
